location,latitud,longitud
Abila Airport,36.052,24.829
Abila Scrapyard,36.075,24.847
Abila Park,36.057,24.851
Abila Hospital,36.057,24.881
Ahaggo Museum,36.076,24.878
Albert's Fine Clothing,36.077,24.858
Arkadiou Park,36.067,24.889
Bean There Done That,36.083,24.852
Brew've Been Served,36.057,24.903
Brewed Awakenings,,
Carlyle Chemical Inc.,36.060,24.883
Chostus Hotel,36.070,24.894
Coffee Cameleon,36.055,24.891
Coffee Shack,36.074,24.860
Daily Dealz,,
Desafio Golf Course,36.090,24.865
Frank's Fuel,36.074,24.841
Frydos Autosupply n' More,36.059,24.905
Gelatogalore,36.061,24.863
General Grocer,36.061,24.858
Gastech,36.048,24.881
Guy's Gyros,36.059,24.898
Hallowed Grounds,36.065,24.885
Hippokampos,,
House North,36.086,24.860
House East,36.065,24.905
Jack's Magical Beans,36.068,24.874
Kalami Kafenion,,
Katerinas Café,36.056,24.899
Kronos Mart,36.067,24.849
Kronos Pipe and Irrigation,,
Maximum Iron and Steel,36.064,24.839
Nationwide Refinery,36.057,24.886
Octavio's Office Supplies,,
Ouzeri Elian,36.054,24.873
Parla Park,36.090,24.856
Pilau Park,36.056,24.843
Roberts and Sons,36.064,24.853
Spetson Park,36.079,24.867
Shoppers' Delight,,
Stewart and Sons Fabrication,,
U-Pump,36.069,24.869
Taxiarchon Park,36.071,24.875
Sannan Park,36.068,24.901
